ID,Species,Project,Tissue,Stage,Sequencing,Technology,Timepoint,Cell,PMID_DOI,Download,sorted_time,time_unit,conversion_rule,special_notes,needs_conversion,needs_reference_unification
Tedd.4_AdultFallopiantube,Homo sapiens,Tedd.4,Fallopiantube,Adult,single-cell RNA sequencing,Microwell-Seq,51-60,6101,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultFallopiantube/counts.csv.gz,55.5,age_range,Age range 51.0-60.0 averaged,Average 55.5 years,No,No
Tedd.4_AdultGallbladder,Homo sapiens,Tedd.4,Gallbladder,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,9465,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultGallbladder/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultHeart,Homo sapiens,Tedd.4,Heart,Adult,single-cell RNA sequencing,Microwell-Seq,"41-50, 51-60",2356,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultHeart/counts.csv.gz,"45.5,55.5",age_range,Age range 41.0-50.0 averaged | Age range 51.0-60.0 averaged,Average 45.5 years | Average 55.5 years,No,No
Tedd.4_AdultIleum,Homo sapiens,Tedd.4,Intestine,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,2531,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultIleum/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultJejunum,Homo sapiens,Tedd.4,Intestine,Adult,single-cell RNA sequencing,Microwell-Seq,61-70,5047,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultJejunum/counts.csv.gz,65.5,age_range,Age range 61.0-70.0 averaged,Average 65.5 years,No,No
Tedd.4_AdultKidney,Homo sapiens,Tedd.4,Kidney,Adult,single-cell RNA sequencing,Microwell-Seq,"41-50, 51-60, 61-70",22434,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultKidney/counts.csv.gz,"45.5,55.5,65.5",age_range,Age range 41.0-50.0 averaged | Age range 51.0-60.0 averaged | Age range 61.0-70.0 averaged,Average 45.5 years | Average 55.5 years | Average 65.5 years,No,No
Tedd.4_AdultLiver,Homo sapiens,Tedd.4,Liver,Adult,single-cell RNA sequencing,Microwell-Seq,"21-30, 51-60",10362,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultLiver/counts.csv.gz,"25.5,55.5",age_range,Age range 21.0-30.0 averaged | Age range 51.0-60.0 averaged,Average 25.5 years | Average 55.5 years,No,No
Tedd.4_AdultLung,Homo sapiens,Tedd.4,Lung,Adult,single-cell RNA sequencing,Microwell-Seq,"21-30, 41-50",23485,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultLung/counts.csv.gz,"25.5,45.5",age_range,Age range 21.0-30.0 averaged | Age range 41.0-50.0 averaged,Average 25.5 years | Average 45.5 years,No,No
Tedd.4_AdultMuscle,Homo sapiens,Tedd.4,Skeleton Muscle,Adult,single-cell RNA sequencing,Microwell-Seq,61-70,7671,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultMuscle/counts.csv.gz,65.5,age_range,Age range 61.0-70.0 averaged,Average 65.5 years,No,No
Tedd.4_AdultPancreas,Homo sapiens,Tedd.4,Pancreas,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,9647,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultPancreas/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultPeripheralBlood,Homo sapiens,Tedd.4,Peripheral Blood,Adult,single-cell RNA sequencing,Microwell-Seq,"21-30, 31-40",17071,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultPeripheralBlood/counts.csv.gz,"25.5,35.5",age_range,Age range 21.0-30.0 averaged | Age range 31.0-40.0 averaged,Average 25.5 years | Average 35.5 years,No,No
Tedd.4_AdultPleura,Homo sapiens,Tedd.4,Pleura,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,19469,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultPleura/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultProstate,Homo sapiens,Tedd.4,Prostate,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,2173,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultProstate/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultRectum,Homo sapiens,Tedd.4,Intestine,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,5179,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultRectum/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultSigmoidColon,Homo sapiens,Tedd.4,Intestine,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,2868,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultSigmoidColon/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultSpleen,Homo sapiens,Tedd.4,Spleen,Adult,single-cell RNA sequencing,Microwell-Seq,51-60,15578,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultSpleen/counts.csv.gz,55.5,age_range,Age range 51.0-60.0 averaged,Average 55.5 years,No,No
Tedd.4_AdultStomach,Homo sapiens,Tedd.4,Stomach,Adult,single-cell RNA sequencing,Microwell-Seq,"41-50, 51-60, 61-70",14052,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultStomach/counts.csv.gz,"45.5,55.5,65.5",age_range,Age range 41.0-50.0 averaged | Age range 51.0-60.0 averaged | Age range 61.0-70.0 averaged,Average 45.5 years | Average 55.5 years | Average 65.5 years,No,No
Tedd.4_AdultThyroid,Homo sapiens,Tedd.4,Thyroid,Adult,single-cell RNA sequencing,Microwell-Seq,"51-60, 61-70",12118,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultThyroid/counts.csv.gz,"55.5,65.5",age_range,Age range 51.0-60.0 averaged | Age range 61.0-70.0 averaged,Average 55.5 years | Average 65.5 years,No,No
Tedd.4_AdultTrachea,Homo sapiens,Tedd.4,Trachea,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,9489,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultTrachea/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultTransverseColon,Homo sapiens,Tedd.4,Intestine,Adult,single-cell RNA sequencing,Microwell-Seq,"51-60, 81-90",16317,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultTransverseColon/counts.csv.gz,"55.5,85.5",age_range,Age range 51.0-60.0 averaged | Age range 81.0-90.0 averaged,Average 55.5 years | Average 85.5 years,No,No
Tedd.4_AdultUreter,Homo sapiens,Tedd.4,Ureter,Adult,single-cell RNA sequencing,Microwell-Seq,41-50,2305,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultUreter/counts.csv.gz,45.5,age_range,Age range 41.0-50.0 averaged,Average 45.5 years,No,No
Tedd.4_AdultUterus,Homo sapiens,Tedd.4,Gonad-female,Adult,single-cell RNA sequencing,Microwell-Seq,51-60,7372,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_AdultUterus/counts.csv.gz,55.5,age_range,Age range 51.0-60.0 averaged,Average 55.5 years,No,No
Tedd.4_ChorionicVillus,Homo sapiens,Tedd.4,Chorionic Villus,Fetal,single-cell RNA sequencing,Microwell-Seq,GW13,9828,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_ChorionicVillus/counts.csv.gz,13,gestational_weeks,Gestational 13.0 weeks,Gestational weeks,No,No
Tedd.4_CordBlood,Homo sapiens,Tedd.4,Cord Blood,Newborn,single-cell RNA sequencing,Microwell-Seq,P0,1938,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_CordBlood/counts.csv.gz,0,postnatal_days,Postnatal 0.0 days,Postnatal days,No,No
Tedd.4_CordBloodCD34P,Homo sapiens,Tedd.4,Cord Blood CD34P,Newborn,single-cell RNA sequencing,Microwell-Seq,P0,16439,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_CordBloodCD34P/counts.csv.gz,0,postnatal_days,Postnatal 0.0 days,Postnatal days,No,No
Tedd.4_FetalAdrenalGland,Homo sapiens,Tedd.4,Adrenal Gland,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW12, GW14",13683,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalAdrenalGland/counts.csv.gz,"12,14",gestational_weeks,Gestational 12.0 weeks | Gestational 14.0 weeks,Gestational weeks | Gestational weeks,No,No
Tedd.4_FetalCalvaria,Homo sapiens,Tedd.4,Calvaria,Fetal,single-cell RNA sequencing,Microwell-Seq,GW12,4831,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalCalvaria/counts.csv.gz,12,gestational_weeks,Gestational 12.0 weeks,Gestational weeks,No,No
Tedd.4_FetalEye,Homo sapiens,Tedd.4,Eye,Fetal,single-cell RNA sequencing,Microwell-Seq,GW11,1680,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalEye/counts.csv.gz,11,gestational_weeks,Gestational 11.0 weeks,Gestational weeks,No,No
Tedd.4_FetalGonad,Homo sapiens,Tedd.4,Gonad,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW11, GW12, GW26",15324,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalGonad/counts.csv.gz,"11,12,26",gestational_weeks,Gestational 11.0 weeks | Gestational 12.0 weeks | Gestational 26.0 weeks,Gestational weeks | Gestational weeks | Gestational weeks,No,No
Tedd.4_FetalHeart,Homo sapiens,Tedd.4,Heart,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW11, GW12",7776,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalHeart/counts.csv.gz,"11,12",gestational_weeks,Gestational 11.0 weeks | Gestational 12.0 weeks,Gestational weeks | Gestational weeks,No,No
Tedd.4_FetalIntestine,Homo sapiens,Tedd.4,Intestine,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW10, GW11, GW12, GW13",23049,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalIntestine/counts.csv.gz,"10,11,12,13",gestational_weeks,Gestational 10.0 weeks | Gestational 11.0 weeks | Gestational 12.0 weeks | Gestational 13.0 weeks,Gestational weeks | Gestational weeks | Gestational weeks | Gestational weeks,No,No
Tedd.4_FetalKidney,Homo sapiens,Tedd.4,Kidney,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW11, GW12, GW13",22137,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalKidney/counts.csv.gz,"11,12,13",gestational_weeks,Gestational 11.0 weeks | Gestational 12.0 weeks | Gestational 13.0 weeks,Gestational weeks | Gestational weeks | Gestational weeks,No,No
Tedd.4_FetalLiver,Homo sapiens,Tedd.4,Liver,Fetal,single-cell RNA sequencing,Microwell-Seq,GW26,17634,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalLiver/counts.csv.gz,26,gestational_weeks,Gestational 26.0 weeks,Gestational weeks,No,No
Tedd.4_FetalLung,Homo sapiens,Tedd.4,Lung,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW11, GW12",9350,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalLung/counts.csv.gz,"11,12",gestational_weeks,Gestational 11.0 weeks | Gestational 12.0 weeks,Gestational weeks | Gestational weeks,No,No
Tedd.4_FetalMuscle,Homo sapiens,Tedd.4,Skeleton Muscle,Fetal,single-cell RNA sequencing,Microwell-Seq,GW12,18153,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalMuscle/counts.csv.gz,12,gestational_weeks,Gestational 12.0 weeks,Gestational weeks,No,No
Tedd.4_FetalPancreas,Homo sapiens,Tedd.4,Pancreas,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW11, GW26",17853,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalPancreas/counts.csv.gz,"11,26",gestational_weeks,Gestational 11.0 weeks | Gestational 26.0 weeks,Gestational weeks | Gestational weeks,No,No
Tedd.4_FetalRib,Homo sapiens,Tedd.4,Skeleton Muscle,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW10, GW12",5654,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalRib/counts.csv.gz,"10,12",gestational_weeks,Gestational 10.0 weeks | Gestational 12.0 weeks,Gestational weeks | Gestational weeks,No,No
Tedd.4_FetalSkin,Homo sapiens,Tedd.4,Skin,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW11, GW7",6411,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalSkin/counts.csv.gz,"11,7",gestational_weeks,Gestational 11.0 weeks | Gestational 7.0 weeks,Gestational weeks | Gestational weeks,No,No
Tedd.4_FetalStomach,Homo sapiens,Tedd.4,Stomach,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW11, GW7",7437,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalStomach/counts.csv.gz,"11,7",gestational_weeks,Gestational 11.0 weeks | Gestational 7.0 weeks,Gestational weeks | Gestational weeks,No,No
Tedd.4_FetalThymus,Homo sapiens,Tedd.4,Thymus,Fetal,single-cell RNA sequencing,Microwell-Seq,"GW12, GW10",4212,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_FetalThymus/counts.csv.gz,"12,10",gestational_weeks,Gestational 12.0 weeks | Gestational 10.0 weeks,Gestational weeks | Gestational weeks,No,No
Tedd.4_NeonatalAdrenalGland,Homo sapiens,Tedd.4,Adrenal Gland,Newborn,single-cell RNA sequencing,Microwell-Seq,P6,5705,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_NeonatalAdrenalGland/counts.csv.gz,6,postnatal_days,Postnatal 6.0 days,Postnatal days,No,No
Tedd.4_Placenta,Homo sapiens,Tedd.4,Placenta,Fetal,single-cell RNA sequencing,Microwell-Seq,GW10,9356,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_Placenta/counts.csv.gz,10,gestational_weeks,Gestational 10.0 weeks,Gestational weeks,No,No
Tedd.4_hESC,Homo sapiens,Tedd.4,hESC,Embryonic,single-cell RNA sequencing,Microwell-Seq,Unknown,1611,https://pubmed.ncbi.nlm.nih.gov/32214235/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.4_hESC/counts.csv.gz,,unknown,Cannot parse,Empty or unknown,No,No
Tedd.5_FetalAdrenalGland,Homo sapiens,Tedd.5,Adrenal Gland,Fetal,single-cell RNA sequencing,sci-RNA-seq,"GW13, GW16, GW17",79160,https://pubmed.ncbi.nlm.nih.gov/33184181/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.5_FetalAdrenalGland/counts.csv.gz,"13,16,17",gestational_weeks,Gestational 13.0 weeks | Gestational 16.0 weeks | Gestational 17.0 weeks,Gestational weeks | Gestational weeks | Gestational weeks,No,No
Tedd.5_FetalCerebellum,Homo sapiens,Tedd.5,Brain - Cerebellum,Fetal,single-cell RNA sequencing,sci-RNA-seq,"GW13, GW16, GW18",79415,https://pubmed.ncbi.nlm.nih.gov/33184181/,matrix | https://tedd.obg.cuhk.edu.hk/data/demo/single-celltestv3.26/Single-cell_atlas/Tedd.5_FetalCerebellum/counts.csv.gz,"13,16,18",gestational_weeks,Gestational 13.0 weeks | Gestational 16.0 weeks | Gestational 18.0 weeks,Gestational weeks | Gestational weeks | Gestational weeks,No,No
